The Twitter Tweet,"The Sentiment(Positive,Negative, or Neutral)",The Sentiment Score
"tangoislaura Hi, Laura Can you share with us what makes you feel this way? Perhaps we can help",Positive,1
RiderChop Hello Can you share with us what makes you feel this way? Perhaps we can help,Positive,1
"cosmicarrow Hi, Takkun Can you share with us what makes you feel this way? Perhaps we can help",Positive,1
ManxGh0st Hello Can you share more about the issues youre seeing? Were here to help,Negative,-2
"snicktwixchicks Hi, Tammy Can you share with us what makes you feel this way? Wed love to help",Negative,-2
izuhope Hello Can you share more with us about this issue? Perhaps we can help,Neutral,0
"atomicboember Hi, Antonius Can you share more about what makes you feel this way? Were here to help",Negative,-1
"avanpiper Hi, there Were here to help with the PC search Will you be using a new laptop for anything specific?",Negative,-5
"_muhdHanafi Hey If youre on the hunt for a new PC, let us know Wed be happy to help you find the right match",Negative,-4
"YokuramaTalks Hey, there Wed be thrilled to help you pick out your next PC What will you be using your new device for most?",Neutral,0
"speerkourtney Hi, Kourtney If you do decide to stick with a PC, wed love to help you find one that suits your needs Let us know",Negative,-4
"BBexio Hey, Earl Wed be happy to send over some recommendations What kind of things are you looking to stream on a new PC?",Negative,-5
"marinkruz Hey, there Could you share with us a few more details about whats happening? Perhaps we can help",Negative,-1
"NickSpiros Hi, there We have a great selection of PCs that could suit your needs What kind of features are you l… tco/lihb4v3EIt",Negative,-6
zachcoleslaw Were glad to hear your excitement How do you use Sticky Notes to stay productive?,Negative,-1
"_HimadriNath Hello, Himadri Can you share more about this with us? Wed love to learn more",Negative,-3
"fadedowntoblack Hey, Mich Thanks for getting our attention Which update is this happening with?",Negative,-4
"deepxthirdteenz Were glad you think so, Akmal How has the rest of the Windows experience been lately?",Negative,-4
Caladrius_kun Hey What kind of laptop did you end up getting? Is it running Windows 10?,Positive,2
Make timelines in no time in PowerPoint thanks to intuitive new tools for the digital pen in Windows10 Get more i… tco/4jRXf2EjCc,Negative,-3
"cris_midnight Hey, there Thanks for your patience When are you seeing this issue? Wed love  to help",Negative,-4
Adi735 How odd Lets have you try the steps in this troubleshooter tco/ATcNOKjfDu Let us know how it goes,Negative,-2
"Prod7gyGaming Hey, there If youre on the hunt for a new PC, let us know Were more than happy to help you pick one out",Negative,-2
"k40s Hey, Alberto We appreciate your patience Updates help keep your device safe and secure How is your device running now?",Neutral,0
"CelOliviax Hello, Celine Which error code in particular are you seeing? Were here to help",Negative,-1
Qwecky Hello Thanks for getting our attention about these Can you share more about when this started?,Negative,-6
"aramachandra Hi, Ram When did this first start? Wed love to help",Negative,-2
"robertcsousa Hi, Robert Thanks for getting our attention Which update is causing this? Were here to help",Negative,-6
"PilotDave3 Hey, Dave Thanks for your patience Are you back to work after the update?",Negative,-2
one_solo Glad to hear it 👍 Which new improvements or changes have been catching your eye?,Negative,-3
declaa Excellent Do you use any Windows features or apps to help you stay productive while you work?,Negative,-1
LittleTreeFrogs Hello What happened leading to these crashes? Were here to help,Negative,-3
keyperspective Cool 🙌 Let us know what you think,Negative,-1
Krahysis Hello When did this box first start popping up for you? Wed love to help,Negative,-1
"TridentPandi Hello, Pandi Are you still seeing any issues with your PC? Were here to help",Negative,-2
"RaccasGaming Hello, Raccas Are you back to gaming today? Were checking in",Positive,1
"LElkan Hi, Larry We appreciate your patience with the updates How is your PC running for you today?",Negative,-3
"Weasley009 Hey, Dylan Were happy to hear youre enjoying Microsoft Edge on your device Feel free to reach out if you have questions",Negative,-2
discodragon95 We completely understand Could you share a few more details about the make and model of your PC? We… tco/f7BUFAySBy,Negative,-3
HeyiamHero Sounds good Feel free to reach out if you have questions Were always just a tweet away,Negative,-6
"discodragon95 Alright, gotcha We recommend following the steps in this Windows blue screen troubleshooter… tco/LTqlizfGHE",Neutral,0
"DerrickGenther Understood Were glad it was successful Keep us posted on how the SSD install goes Were here to help, if needed",Negative,-6
disciplesJerry Happy to hear things are in order now Were always hunting for new ways to improve Make sure to s… tco/VwjRWdDCfl,Negative,-9
"declaa Ah, nice Have you been using Windows to work on any cool projects lately?",Negative,-2
SvenDaHacker64 Do you have any masterpieces youd like to share with us? 🖌🎨 We love seeing what our users are capable of creating,Negative,-8
nicola_onofri Glad we could be part of your journey 😃 Which change or improvement has been your favorite over the years?,Negative,-6
keserwan Glad to hear it Were always working to improve Have you shared your feedback and experience with us he… tco/krxYaGT9s7,Negative,-6
yagyaansh Cool Have you tried the new Photos app? tco/lxFj90mt0B Wed love to hear what you think of it,Negative,-4
Kukuebe Thats quite impressive 👍 Which Windows apps do you find to be the most helpful?,Negative,-4
"jbrophy88 Thanks for logging feedback, John 👍 It allows us to make Windows even better",Negative,-2
"adam_technstuff Hey, Adam We wanted to check in Were you able to successfully update your device?",Negative,-1
anthonyhunter69 Right on 🍂 We look forward to seeing them,Negative,-1
"bansalkrishan Amazing memories, Krishan",Neutral,0
"starmoon4u Ah, okay Let us know if you ever have questions 😊 Were always here if you need us",Negative,-5
DrewHD1903 Thats great Thank you for being a loyal user,Negative,-4
KathRella Glad we could help 🙂 How has the rest of your Windows experience been lately?,Negative,-5
keyperspective Right on Have you heard of Surface All Access? tco/GjM0HJVAvl,Neutral,0
Gachanja_ Were always working to improve Make sure to share your feedback with us here tco/xXNOCZdTcE,Negative,-6
JustinWWaldrop We appreciate your concern Were happy to hear your update was uneventful How are you liking it so far?,Negative,-6
"feryardiant Okay, understood Thanks for getting back to us Have you made sure to log this in the Feedback Hub? tco/4g2h03yPwS",Negative,-3
"lyfung76 Oh, how interesting Can you share more with us about these misplaced items? Which items in particular?",Negative,-4
"ArchApex_ We appreciate you saying so Thanks for following up with us, Noah 💙",Negative,-1
HeyiamHero Thanks for getting back to us Have you been able to run this troubleshooter yet? tco/ABN9rhelCS,Negative,-2
davepermen How odd Have you already shared this in our Feedback Hub? tco/g4NQzYPrgx,Negative,-2
ArqIbM Thanks for sharing this What is the make and model of your PC?,Negative,-4
Ryan_Provenzano Have you run through these steps for driver updates as well? tco/YhOKCnBBT7,Positive,1
ivanzlatev We understand Thanks for getting back to us Are there any workarounds youve found to adjusting brightness?,Negative,-4
celpaxreb We understand Is your PC running well despite the missing update?,Negative,-1
spyridonkagkas Are you seeing any issues or errors when the update fails? Wed love to help,Negative,-5
"disciplesJerry Hi, Joe Are you still seeing this problem with the updates? Were here to help",Negative,-2
hniyaz Were glad your a fan How has the rest of your Windows experience been lately?,Negative,-4
DerrickGenther Hello Can you share more about what happened leading to this? Were here to help,Negative,-3
"discodragon95 Thanks for reaching out Your PC should be fine, but wed like to follow up How is it running today?",Negative,-5
"Ufxs014 Hello, Martin Thanks for your patience How is your PC running for you after the update?",Negative,-3
"DavidBretherton Hi, David What kind of performance change are you currently seeing? Were here to help",Negative,-3
"IdkWwefan Hey, there Which update in particular are you seeing this issue with?",Neutral,0
"anthonyhunter69 Ah, the setup itself It still looks good, Anthony 📱💙",Negative,-2
"AsISeeTech Hello, there Were always looking for ways we can improve tco/4QVq4ZeHMT",Negative,-3
yadlaaf We appreciate your patience How is your PC running after the update?,Negative,-2
"jaycaron87 Were glad youre a fan, Jay Have you set this as your theme yet?",Negative,-1
"Adi735 Hi, Aditya Thanks for reaching out Can you share with us when this popped up?",Negative,-2
"pickledmybrain Hey, there Wed love to help sort this out What is the make and model of your PC?",Negative,-5
"billthekirk We love your excitement, Kirk How are you enjoying Windows so far?",Negative,-2
TempWello6143 Were always looking for things like this to add in the future Can you share this on our Feedback H… tco/HZGQlbNphf,Negative,-6
Leemii17 Hello Thanks for reaching out What is the make and model of this PC?,Negative,-4
"ynnikolova Hi, Ana What kind of issues are you experiencing? Were here to help",Negative,-3
FahmiHisyam00 Hello Thanks for reaching out Whats the make and model of your PC?,Negative,-3
HelenKPDem How odd We recommend trying these steps to boost performance of Microsoft Edge on your device… tco/4eeSspuRQu,Negative,-4
MCruzZ_ Right on 👍 What kind of games are you looking to play on it?,Negative,-3
"truckershorizon Oh, gotcha Let us know when you get the chance to check it out Wed love to hear what you think",Negative,-5
"xbox75966575 Hi, there Are you still experiencing this at the moment? We’re here to help if you need us",Negative,-3
"jbrophy88 We thought you might think so, John How has the rest of the October Update been treating you?",Negative,-4
"amoghnatu Loving your excitement, Amogh How has the rest of your Windows experience been postupdate?",Negative,-4
nicola_onofri Fantastic 💙 How long have you been using Windows?,Neutral,0
Gachanja_ Youre welcome Let us know if you have questions,Negative,-2
bleu_jane We recommend making sure your active hours are set This tells us the ideal times to update your PC tco/Q12QdqPvTx,Negative,-7
NatNat_DGAF Thanks for letting us know Were always hunting for new ways to improve Make sure to log this with u… tco/zLv1ZeRjOm,Negative,-8
SvenDaHacker64 Were glad you think so 😎 Which Windows apps do you use the most?,Neutral,0
declaa Right on 🙂 What do you primarily use Windows 10 for?,Neutral,0
RockoCalavasi Youre welcome 👍,Negative,-1
truckershorizon We wanted to check back in Did you have a chance to try Continue on PC yet?,Negative,-1
starmoon4u We love having awesome users like you 😃 Have you been working on any cool projects with Windows lately?,Negative,-4
Jdlaooo Amazing 🏆 Have any other new changes been catching your eye so far?,Negative,-3
redtahr Interesting Could you share a few more details about which build these devices are running? Wed like to sort this out,Negative,-6
HgAlexx We wanted to check back in Are you able to identify the last version of Windows that was installed?,Negative,-4
Kukuebe Thats a great list 💙 What do you mainly use Windows for?,Negative,-1
dkbrown1411 Thats awesome 🎉 We suggest checking out the Windows lifecycle fact sheet to learn more about end of… tco/wXvn0Xmbgy,Negative,-4
"_aeroplaneblues Ah, gotcha Let us know if youd like other recommendations Were always a tweet away",Negative,-6
TheFZR Are you still seeing this kind of behavior? Wed like to learn more,Negative,-3
bansalkrishan We love the excitement 😄 When was your first time using a Windows device?,Negative,-4
cyberfox0113 Thats what we like to hear Have any other new improvements been standing out so far?,Negative,-6
yagyaansh Right on 😃 What do you primarily use your Windows PC for?,Neutral,0
hww1955 Thats music to our ears 🎵 Any changes or improvements catching your eye?,Negative,-2
ffernandoid Thank you for taking the time to share with us 😀 Make sure to share any suggestions here tco/IpMKL9nKUj,Negative,-6
ManikandanRamr Thanks for the compliments 💙 Were always hunting for ways to refine Microsoft Edge Make sure to… tco/H4Q5TjmEuE,Negative,-6
AwkwardRay We appreciate users like you 🙂 Learn how to adjust notification settings in Windows 10 here tco/CwzV9nU8BZ,Negative,-2
"N8D351GN Thanks for doing that, Nate 👍 Your feedback allows us to make Windows even better",Negative,-3
CaptainWilde We wanted to check in Were you able to successfully update your device?,Negative,-1
Zeyhash Right on Lets see if we can narrow it down Do you have an ideal screen size in mind?,Neutral,0
pauliom Were always open to new suggestions Make sure to log your thoughts in the Feedback Hub… tco/WROvJrtNzs,Negative,-4
"OMGsteveFTW Okay, understood Were always looking to improve Make sure to share your experience with us here… tco/DTcOXYolcP",Negative,-7
olischolz Understood We appreciate your feedback,Neutral,0
MCruzZ_ Sounds good Lets see if we can narrow it down first Are you looking for a gaming desktop or laptop?,Negative,-2
"Shocklate_ Oh, alright Glad to hear things are back up and running now 👍 Have you had a chance to capture any ep… tco/T2RwsZ7KM5",Negative,-6
KB2_SB1 Thats music to our ears 🎶 Be sure to share any other creations with us We love seeing what our users can bring to life,Negative,-9
codeguy Thats what we like to hear 😄 Are you working on any cool projects with Windows right now?,Negative,-4
KapilanTamil Were happy to hear it 🎉 What kind of work do you use Windows for?,Negative,-2
"ByCharlieRicker Ah, okay Let us know if you have questions Were always just a tweet away, if needed 👍",Negative,-6
iBRM___ Surface Laptop is an excellent choice Be sure to check out all your options here tco/5rUEphUu8m… tco/Ufu9fjGjNw,Negative,-4
"SeanMacfarlain Thank you for sharing this info, Seán Lets have you try this Windows Update Troubleshooter… tco/gsGaJPjV74",Positive,1
HelenKPDem We appreciate your patience Are you seeing any specific error codes or messages? Wed like to learn more,Negative,-4
KathRella Thank you for bringing this to our attention We recommend learning how to change notification settings… tco/71zDJfFjic,Negative,-5
Valdewyn Thanks for the compliments 😊 We love having awesome users like you Have you tried using Paint 3D to create any works of art yet?,Negative,-5
"DrewHD1903 Thanks for sharing your thoughts with us, Drew When was your first time using a Windows device?",Negative,-4
"elmeshne9 Hmm To help us better understand, could you share a few more details about the make and model of your PC?",Negative,-5
ro_sheri Thanks for doing that We love having loyal users like you 💙 We recommend checking out how to free up dr… tco/Z62PlSNShI,Negative,-7
keyperspective Both are great options What kind of work will you be using a new device for the most?,Negative,-6
"David82018 Glad to hear the update was successful, David Make sure to share your experience with us here tco/RxVEWRGFvD",Negative,-7
Hold onto the seasons beauty long after the last leaf has fallen with this 17image Windows10 Autumn Colors theme… tco/evWIqXcdW5,Negative,-2
"hossamhammouri Thats fantastic Thanks for taking the time to chat with us, Semoo",Negative,-5
DarMagnani Oh no We completely understand your concerns Are all the drivers for these accessories up to date now?,Negative,-2
"Thanks for the shoutout Mashable See what they had to say about the Your Phone app, Timeline on phone, and the r… tco/0Gcjp5SWdS",Negative,-9
"If you’ve got a second, see how we can help give you back some time Get the most out of the Windows10 October Upd… tco/b2LWC26H5l",Negative,-3
"Stand out, catch up, unwind Switching from work to play is seamless on the new Surface Laptop 2, now in Black Ad… tco/0ww2tVMe9Y",Negative,-3
"agumarinangeli Were so excited to hear that Thanks for taking the time to share your thoughts with us, Agustin",Negative,-7
"Mostafa88211681 Well, we appreciate it all the same Thanks for taking the time to talk with us a bit, Mostafa",Negative,-5
"CunningXDuck Haha Well, we appreciate your longtime support and taking the time to chat with us today",Negative,-4
Timmy_Turner100 Thats fantastic Thanks for taking the time to share your experience with us,Negative,-6
EVERSICK1166 We cant wait for you to try it Thanks for being a fan and taking the time to chat with us 😁,Negative,-8
dasutein_ Fantastic news How are you enjoying it so far? 😁,Negative,-1
"Joyce1Hock Ah, thanks for your patience We appreciate you getting this information to us Have you already logged… tco/9mqn1r6v7O",Negative,-3
"mauroservienti Ah, understood Thanks for taking the time to share your experience with us",Negative,-5
"What’s new? Texts on your PC that’s what Get photos and texts instantly on your PC with Your Phone app, new in the… tco/q6ciQQgtSh",Negative,-3
jjoune Thats great to hear Thanks for being a loyal Windows user 💙,Negative,-6
AutomotiveUX We appreciate you saying so Thanks for taking the time to chat with us 😁,Negative,-4
"ChrisBlinker Hi, Chris Can you share more with us what happened to cause this? Were here to help",Negative,-3
"feryardiant Hello, there What sort of errors are you seeing? Wed love to learn more",Negative,-3
HeyiamHero Hello Thanks for reaching out Can you share with us what led to this error? Were here to help,Negative,-4
See what DigitalTrends has to say about the new Your Phone app and Timeline on phone in the Windows10 October Upd… tco/ExGeUaDp4j,Negative,-4
"HgAlexx Hello Thanks for sharing this with us Can you share some details about your build, too?",Negative,-2
thedark_fantasy Hello Can you share more with us about what youre seeing? Were here to help,Negative,-3
declaa Were happy to hear you love it 😊 Which new features and improvements are standing out to you at the moment?,Negative,-4
"davepermen Hi, Dave Can you share a bit more about when this happens? Perhaps we can help",Negative,-1
SvenDaHacker64 Excellent Have any other new features been catching your eye?,Negative,-3
Gachanja_ Right on 🙂 We recommend learning more about the new features in the Windows October 2018 Update here tco/ytYIQzqrAA,Negative,-4
"MrPNGbr Hello, there Can you share more with us about your specific device? Wed love to help",Negative,-3
Switti00 Understood We suggest checking your microphone settings for any anomalies tco/hQoupoIRzG Let us know if this helps,Negative,-4
Prescience_1 Hello Wed love to help sort this out Can you share more with us about your PC?,Negative,-3
"RT FLGovScott If you’re in an evacuation zone, I am urging you to leave RIGHT NOW Do not risk your life or the lives of your loved ones…",Negative,-5
"THANK YOU IOWA &amp; NEBRASKA VOTE, VOTE, VOTE tco/0pWiwCHGbh tco/tzkiQ4IlEd",Neutral,0
tco/CPf3oxgdRX,Neutral,0
Beautiful evening in Iowa GOD BLESS THE USA MAGA🇺🇸 tco/Zi0rwyajrz,Neutral,0
RT fema Flooding from Hurricane Michael will affect several states Finish preparations ASAP and get ready to shelter in a safe location…,Negative,-5
RT FLOTUS Thank you Egypt 🇪🇬 🇺🇸 tco/7i0POn29XN,Positive,1
RT FLOTUS Thank you Kenya 🇰🇪 🇺🇸 tco/5FXP7Ki3Zw,Positive,1
FLGovScott has been relentless in securing the funding to fix the algae problem from Lake Okeechobee  we will so… tco/6XMMjQ0V4v,Negative,-5
"RT Scavino45 Congratulations to our 114th Supreme Court Justice, Brett M Kavanaugh SCOTUS🏛🇺🇸

🔟📸tco/c3YdNNcU7c tco/A…",Negative,-2
“President Donald J Trump Approves Florida Emergency Declaration” tco/TnTDCvs41W,Neutral,0
REGISTER TO VOTE tco/0pWiwCHGbh tco/3vYfDmpqiH,Neutral,0
"FLORIDA  It is imperative that you heed the directions of your State and Local Officials Please be prepared, be c… tco/wPghUO1OF2",Negative,-8
"Looks to be a Cat 3 which is even more intense than Florence Good news is, the folks in the Pan Handle can tak… tco/60JuUt9tp9",Negative,-7
"Hurricane on its way to the Florida Pan Handle with major elements arriving tomorrow Could also hit, in later stag… tco/xycrRUIBTh",Negative,-7
Big announcement with my friend Ambassador Nikki Haley in the Oval Office at 1030am,Negative,-3
RT realDonaldTrump tco/4ySIkmfllE,Neutral,0
"Will be going to Iowa tonight for Rally, and more The Farmers (and all) are very happy with USMCA",Negative,-7
Great evening last night at the White House honoring Justice Kavanaugh and family Our country is very proud of them,Negative,-4
"The paid DC protesters are now ready to REALLY protest because they haven’t gotten their checks  in other words,… tco/3es06u6W6e",Negative,-6
"RT NWSTallahassee 8am Intermediate Advisory from NHC_Atlantic upgrades HurricaneMichael into a category 2 hurricane Keep in mind, wind…",Negative,-1
"RT fema ⚠️If youre told to evacuate for Hurricane Michael, dont delay Leave as soon as possible 

Listen to FLSERT and local offici…",Negative,-8
tco/4ySIkmfllE,Neutral,0
tco/k2bOxapRtR,Neutral,0
Great to see AGPamBondi launch a cuttingedge statewide school safety APP in Florida today  named by Parkland Sur… tco/4PBXblZ0JW,Negative,-2
"Every day, our police officers race into darkened allies, deserted streets, &amp; onto the doorsteps of the most harden… tco/oaai3FVg0o",Negative,-3
We thank you We salute you We honor you And we promise you we will ALWAYS have your BACK  now and FOREVER… tco/RnvDOTLvu8,Positive,2
America’s police officers have earned the everlasting gratitude of our Nation In moments of danger &amp; despair you a… tco/movE69yT0F,Negative,-3
"It was my great honor to address the International Association of Chiefs of Police Annual Convention in Orlando, Fl… tco/FjZmjHo9CT",Negative,-6
"Departing Washington, DC for the International Association of Chiefs of Police Annual Convention in Orlando, Flor… tco/HNDU0DuCnA",Negative,-4
Christopher Columbus’s spirit of determination &amp; adventure has provided inspiration to generations of Americans On… tco/tIXXwhxDci,Negative,-5
RT FLOTUS Thank you Kenya 🇰🇪 🇺🇸 tco/JrHncob8Qp,Positive,1
SecPompeo had a good meeting with Chairman Kim today in Pyongyang Progress made on Singapore Summit Agreements… tco/kzwV5wAVSq,Negative,-4
"You don’t hand matches to an arsonist, and you don’t give power to an angry leftwing mob Democrats have become to… tco/VB23FlFvOT",Negative,-4
"Beautiful evening in Topeka, Kansas VOTE, VOTE, VOTE MAGA tco/bomRqsaYfm",Neutral,0
"Thank you Kansas  I love you 
tco/ymCFNr9WQY",Positive,2
"The crowd in front of the US Supreme Court is tiny, looks like about 200 people (&amp; most are onlookers)  that wou… tco/K0175DLRAK",Negative,-5
"I applaud and congratulate the US Senate for confirming our GREAT NOMINEE, Judge Brett Kavanaugh, to the United S… tco/573HIDggVn",Negative,-4
"I have asked Steve Daines, our great Republican Senator from Montana, to attend his daughter Annie’s wedding rather… tco/3cvHEGT5QS",Negative,-1
"Women for Kavanaugh, and many others who support this very good man, are gathering all over Capitol Hill in prepara… tco/lrE7vMwl8k",Negative,-6
"RT realDonaldTrump Thank you Minnesota  I love you
tco/eQC2NqdIil",Positive,1
RT FLOTUS Thank you Malawi 🇺🇸 🇲🇼 tco/rE03LMNzOZ,Positive,1
RT FLOTUS Thank you Ghana 🇺🇸 🇬🇭 tco/d34cqFyRdN,Positive,1
Very proud of the US Senate for voting “YES” to advance the nomination of Judge Brett Kavanaugh,Negative,-7
Just out 37% Unemployment is the lowest number since 1969,Negative,-3
The very rude elevator screamers are paid professionals only looking to make Senators look bad Don’t fall for it… tco/2In7zzWHoS,Negative,-3
"RT RealJamesWoodss Whether you love or hate him, Trump’s ascendancy to the presidency was a onceinacentury miracle He was literally t…",Negative,-8
"RT newsobserver Presidential adviser and daughter IvankaTrump will make 3 stops in NC to see hurricane relief efforts, thank first respo…",Neutral,0
"RT Scavino45 🚨Happening Now | 208amE; Our great FLOTUS, Melania Trumpvisiting a Kenyan elephant orphanagetco/rW2cWXaswf",Negative,-1
"Beautiful evening in Rochester, Minnesota VOTE, VOTE, VOTE tco/SyxrxvTpZE",Neutral,0
"Thank you Minnesota  I love you
tco/eQC2NqdIil",Positive,1
Just made my second stop in Minnesota for a MAKE AMERICA GREAT AGAIN rally We need to elect KarinHousley to the U… tco/rOGv3fAwzV,Negative,-6
Congressman Bishop is doing a GREAT job He helped pass tax reform which lowered taxes for EVERYONE Nancy Pelosi i… tco/g6kT6INueQ,Negative,-4
“US Stocks Widen Global Lead” tco/Snhv08ulcO,Neutral,0
Statement on National Strategy for Counterterrorism tco/ajFBg9Elsj tco/Qr56ycjMAV,Negative,-1
"Working hard, thank you tco/6HQVaEXH0I",Positive,1
"This is now the 7th time the FBI has investigated Judge Kavanaugh If we made it 100, it would still not be good e… tco/RnF7pKPVyZ",Negative,-7
"RT ChatByCC While armed with the power of our Vote, we proudly &amp; peacefully revolted

Never doubt this was an American revolution

MAGA…",Negative,-9
"This is a very important time in our country Due Process, Fairness and Common Sense are now on trial",Negative,-6
"Our country’s great First Lady, Melania, is doing really well in Africa The people love her, and she loves them I… tco/YkcuOHtrDW",Negative,-4
The harsh and unfair treatment of Judge Brett Kavanaugh is having an incredible upward impact on voters The PEOPLE… tco/tz7uynzT5p,Negative,-6
"Wow, such enthusiasm and energy for Judge Brett Kavanaugh Look at the Energy, look at the Polls Something very bi… tco/62VvhKHKXu",Negative,-8
"My thoughts and prayers are with the Florence County Sheriff’s Office and the Florence Police Department tonight, i… tco/CX6358MmOs",Negative,-6
"Just spoke to PresidentElect Andres Manuel Lopez Obrador of Mexico Great call, we will work well together",Negative,-2
I see it each time I go out to Rallies in order to help some of our great Republican candidates VOTERS ARE REALLY… tco/chRkQ8hVvt,Negative,-4
"Mexico, Canada and the United States are a great partnership and will be a very formidable trading force We will n… tco/7dnrquzER9",Negative,-10
"Blowout numbers on New Jobs and, separately, Services Market up",Positive,1
Thank you to Congressman Tom Reed of New York for your wonderful comments on our great new Trade Deal with Mexico a… tco/tuwwT7t11a,Negative,-6
Thank you Governor Phil Bryant  it was my great honor to be there MAGA tco/UbY7Qu2fMt,Negative,-4
tco/w04sqlMIYm,Neutral,0
"The Stock Market just reached an AllTime High during my Administration for the 102nd Time, a presidential record,… tco/eVO3pSBlLU",Negative,-6
The Failing New York Times did something I have never seen done before They used the concept of “time value of mon… tco/OaNSM7we21,Negative,-8
"Congressman PeteSessions of Texas is a true fighter and patriot Highly respected in DC by all, he always gets w… tco/8eQEIFxyEk",Negative,-5
"RT DHSgov REMINDER Tomorrow, 10/3 at 218 PM EDT, there will be a nationwide test of the Wireless Emergency Alert system, in coordinatio…",Negative,-4
"Thank you Mississippi  Together, we are MAKING AMERICA GREAT AGAIN tco/npnRirjcFG",Neutral,0
"Today, my Administration provided HISTORIC levels of funding to improve school safety through STOP School Violence… tco/oON7wPgrfA",Negative,-2
"“National wage growth is at the highest it’s been in nearly 17 months  and, according to a new study released by… tco/gpwphLJ17a",Negative,-7
GOD BLESS THE USA MAGA🇺🇸 tco/pquqyy5S3G,Neutral,0
Thank you Mississippi  I love you tco/eH6x1NBNQG,Positive,2
This is really an incredible time for our Nation  WE are RESPECTED AGAIN tco/94KusYcDAj,Negative,-7
"RT WhiteHouse “America will always be a nation of great builders, because in America, we honor work, we honor grit, we honor craftsmanshi…",Negative,-9
“USMCA Wins Praise as a Victory for American Industries and Workers”➡️tco/UWhPhNXiiL tco/eBVv0nXXRT,Negative,-4
Proud of our great First Lady  and she loves doing this tco/VD7wlqeJoR,Negative,-4
"Yesterday, it was my great honor to present the Medal of Honor to Ronald J Shurer II, for his actions on April 6,… tco/syiAXrSbzA",Negative,-8
THE ONLY REASON TO VOTE FOR A DEMOCRAT IS IF YOU’RE TIRED OF WINNING,Neutral,0
Great reviews on the new USMCA Thank you Mexico and Canada will be wonderful partners in Trade (and more) long into the future,Negative,-5
"Happy 7th birthday to Tristan, a very special member of the Trump family",Negative,-5
WOW  THANK YOU TENNESSEE tco/38UUDqfIz5,Neutral,0
Thank you Tennessee  I love you tco/1swpoY7F5x,Positive,2
tco/5UmYGFLyLK,Neutral,0
News conference on the USMCA this morning at 1100  Rose Garden of White House,Negative,-2
Congratulations to Mexico and Canada,Negative,-2
"deficiencies and mistakes in NAFTA, greatly opens markets to our Farmers and Manufacturers, reduces Trade Barri… tco/2dzTdvz0gQ",Negative,-5
"Late last night, our deadline, we reached a wonderful new Trade Deal with Canada, to be added into the deal already… tco/Dwe2KWvqgn",Negative,-7
"Wow Just starting to hear the Democrats, who are only thinking Obstruct and Delay, are starting to put out the wor… tco/9irOa5ox2R",Negative,-9
